place_id,name,location,categories,phone 
ChIJ2wxVsjqZToYRFuIJD9uQt74,Fearing's Restaurant,2121 McKinney Ave Dallas TX 75201 USA,bar restaurant food point_of_interest establishment,(214) 922-4848 
ChIJR3Rl2LGYToYRWUtXfL-70-g,Gemma Restaurant,2323 N Henderson Ave #109 Dallas TX 75206 USA,restaurant food point_of_interest establishment,(214) 370-9426 
ChIJiTH8AyOZToYRjgcpq1BhUdE,Dakota's,600 N Akard St Dallas TX 75201 USA,restaurant bar food point_of_interest establishment,(214) 740-4001 
ChIJGU7NvE6ZToYRWdlaH0QsiF0,Meddlesome Moth,1621 Oak Lawn Ave Dallas TX 75207 USA,bar restaurant food point_of_interest establishment,(214) 628-7900 
ChIJDeCcqxCZToYRtKs6WH0v-AA,Texas Spice,555 S Lamar St Dallas TX 75202 USA,restaurant food point_of_interest establishment,(214) 652-4810 
ChIJD-0-iUWeToYRDA4MiB2Qrws,True Food Kitchen,8383 Preston Center Plaza Suite 100 Dallas TX 75225 USA,restaurant food point_of_interest establishment,(214) 377-3333 
ChIJGXYxd92YToYR7yV_BSMQ2Xk,Pecan Lodge,2702 Main St Dallas TX 75226 USA,restaurant food point_of_interest establishment,(214) 748-8900 
ChIJgw3ydCSfToYRCVcrB3KhQww,Velvet Taco,3012 N Henderson Ave Dallas TX 75206 USA,restaurant food point_of_interest establishment,(214) 823-8358 
ChIJmWPdWQ6fToYRyNjI2AnbdVk,Cafe 43,2943 SMU Boulevard Dallas TX 75205 USA,restaurant food point_of_interest establishment,(214) 200-4302 
ChIJCVWPkxiZToYR2up82wVorYw,Chop House Burger,1501 Main St Dallas TX 75201 USA,restaurant food point_of_interest establishment,(214) 741-2747 
ChIJ40wS9hOZToYRw36h4tQ-ll8,Wolfgang Puck,300 Reunion Blvd E Dallas TX 75207 USA,restaurant food point_of_interest establishment,No value given 
ChIJYV6odyKZToYRznrfG6ICkI8,Cafe Momentum,1510 Pacific St Dallas TX 75201 USA,restaurant food point_of_interest establishment,(214) 303-1234 
ChIJDziQyoWZToYRAAIV6Mf35KQ,Lockhart Smokehouse BBQ,400 W Davis St Dallas TX 75208 USA,bar restaurant food point_of_interest establishment,(214) 944-5521 
ChIJsw_DQCaZToYRnHMnjqCAraA,Tei-An,1722 Routh St Suite110 Dallas TX 75201 USA,restaurant food point_of_interest establishment,(214) 220-2828 
ChIJZbmm2ySZToYRHqOiIJBIUhM,LARK on the Park,2015 Woodall Rodgers Fwy Dallas TX 75201 USA,bar restaurant food point_of_interest establishment,(214) 855-5275 
ChIJfyR9azkcTIYR8LzCaXLngnA,Red Robin Gourmet Burgers and Brews,5031 N Garland Ave Garland TX 75040 USA,restaurant food point_of_interest establishment,(972) 530-4700 
ChIJ3ceikxiZToYRX6hQLgaklNM,Dallas Fish Market,1501 Main St Dallas TX 75201 USA,restaurant food point_of_interest establishment,(214) 744-3474 
ChIJT8uwv4WZToYRzIpTtOGT6sA,Boulevardier,408 N Bishop Ave #108 Dallas TX 75208 USA,bar restaurant food point_of_interest establishment,(214) 942-1828 
ChIJddwYixiZToYRWhATPuvJo7I,Jason's Deli,1409 Main St Dallas TX 75202 USA,restaurant meal_takeaway store food point_of_interest establishment,(214) 672-9340 
ChIJD5XqVq4pTIYRP1qUzOjrXno,54th Street Restaurant & Drafthouse,1850 Market Pl Blvd Irving TX 75063 USA,restaurant food point_of_interest establishment,(972) 556-1154 
